id,title,mint,country,source_url,official_status,http_status,official_mintage,official_mintage_display,official_raw
4366,Australian Wedge-tailed Eagle 10th Anniversary 2024 5oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-10th-anniversary-2024-5oz-gold-proof-high-relief-coin,found,200,55,55,55
4367,Australian Wedge-tailed Eagle 2021 1 Kilo Gold Incused Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2021-1-kilo-gold-incused-coin,found,200,250,250,250
4370,Australian Wedge-tailed Eagle 2021 1oz Platinum Reverse Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2021-1oz-platinum-reverse-proof-high-relief-coin,found,200,350,350,350
4373,Australian Wedge-tailed Eagle 2021 5oz Gold Reverse Proof Ultra High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2021-5oz-gold-reverse-proof-ultra-high-relief-coin,found,200,50,50,50
4375,Australian Wedge-tailed Eagle 2022 1 Kilo Silver Enhanced Reverse Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2022-1kg-silver-enhanced-reverse-proof-coin,found,200,250,250,250
4378,Australian Wedge-tailed Eagle 2022 1oz Platinum Enhanced Reverse Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-wedge-tailed-eagle-2022-1oz-platinum-enhanced-reverse-proof-coin,found,200,200,200,200
4381,Australian Wedge-tailed Eagle 2022 5oz Gold Enhanced Reverse Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2022-5oz-gold-enhanced-reverse-proof-high-relief-coin,found,200,50,50,50
4383,Australian Wedge-tailed Eagle 2023 1 Kilo Silver Enhanced Reverse Proof Ultra High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2023-1-kilo-silver-reverse-proof-ultra-high-relief-coin,found,200,250,250,250
4385,Australian Wedge-tailed Eagle 2023 1.5oz Bi-Metal Proof Gilded Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2023-1.5oz-bi-metal-proof-gilded-coin,found,200,250,250,250
4389,Australian Wedge-tailed Eagle 2023 5oz Gold Proof High Relief Gilded Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2023-5oz-gold-proof-high-relief-gilded-coin,found,200,50,50,50
4392,Australian Wedge-tailed Eagle 2025 1 Kilo Silver Proof Ultra High Relief Gilded Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-1-kilo-silver-proof-ultra-high-relief-gilded-coin,found,200,200,200,200
4393,Australian Wedge-tailed Eagle 2025 10oz Silver Proof Ultra High Relief Gilded Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-10oz-silver-proof-ultra-high-relief-gilded-coin,found,200,400,400,400
4394,Australian Wedge-tailed Eagle 2025 1oz Bi-Metal Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-1oz-bi-metal-proof-coin,found,200,200,200,200
4396,Australian Wedge-Tailed Eagle 2025 1oz Rose Gold Reverse Proof Ultra High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-1oz-rose-gold-reverse-proof-ultra-high-relief-coin,found,200,175,175,175
4399,Australian Wedge-tailed Eagle 2025 5oz Gold Proof Ultra High Relief Gilded Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-5oz-gold-proof-ultra-high-relief-gilded-coin,found,200,70,70,70
4408,Beth Zaiken Collection - The Koala 2025 10oz Silver Proof Ultra High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/beth-zaiken-collection-the-koala-2025-10oz-silver-proof-ultra-high-relief-coin,found,200,350,350,350
4409,Beth Zaiken Collection - The Koala 2025 1oz Gold Proof Ultra High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/beth-zaiken-collection-the-koala-2025-1oz-gold-proof-ultra-high-relief-coin,found,200,250,250,250
4418,Butterfly 2025 2 Kilo Silver High Relief Antiqued Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/butterfly-2025-2-kilo-silver-antiqued-high-relief-coin,found,200,200,200,200
4426,Chinese Myths and Legends Dragon 2022 1oz Platinum Reverse Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/chinese-myths-and-legends-dragon-2022-1oz-platinum-reverse-proof-coin,found,200,150,150,150
4428,Chinese Myths and Legends Dragon and Koi 2024 1oz Platinum Reverse Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/chinese-myths-and-legends-dragon-and-koi-2024-1oz-platinum-reverse-proof-coin,found,200,150,150,150
4444,Dragon 2022 1oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/dragon-2022-1oz-gold-proof-coin,found,200,188,188,188
4446,Dragon 2023 1oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/dragon-2023-1oz-gold-proof-coin,found,200,188,188,188
4447,Dragon 2023 5oz Silver Antiqued Coloured Coin,The Perth Mint,Тувалу,https://www.perthmint.com/shop/collector-coins/coins/dragon-2023-5oz-silver-antiqued-coloured-coin,found,200,388,388,388
4448,Dragon 2024 1oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/dragon-2024-1oz-gold-proof-coin,found,200,188,188,188
4449,Dragon 2025 1oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/dragon-2025-1oz-gold-proof-coin,found,200,188,188,188
4450,Dragon 2025 1oz Gold Proof Rectangular Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/dragon-2025-1oz-gold-proof-rectangular-coin,found,200,188,188,188
4452,Dragon and Phoenix 2024 5oz Silver Antiqued Coloured Coin,The Perth Mint,Тувалу,https://www.perthmint.com/shop/collector-coins/coins/dragon-and-phoenix-2024-5oz-silver-antiqued-coloured-coin,found,200,388,388,388
4453,Dragon and Tiger 2022 2 Kilo Silver Antiqued High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/dragon-and-tiger-2022-2-kilo-silver-antiqued-high-relief-coin,found,200,200,200,200
4464,Five Auspicious Creatures 2024 5oz Silver Antiqued Coloured Coin,The Perth Mint,Тувалу,https://www.perthmint.com/shop/collector-coins/coins/five-auspicious-creatures-2024-5oz-silver-antiqued-coloured-coin,found,200,388,388,388
4467,Fu Lu Shou 2023 5oz Silver Antiqued Coloured Coin,The Perth Mint,Тувалу,https://www.perthmint.com/shop/collector-coins/fu-lu-shou-2023-5oz-silver-antiqued-coloured-coin,found,200,388,388,388
4469,Great Barrier Reef 2021 2 Kilo Silver Antiqued High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/great-barrier-reef-2021-2-kilo-silver-antiqued-high-relief-coin,found,200,200,200,200
4472,Great Southern Land 2022 2oz Gold Proof Opal Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/great-southern-land-2022-2oz-gold-proof-opal-coin,found,200,200,200,200
4474,Great Southern Land 2024 2oz Gold Proof Mother of Pearl Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/great-southern-land-2024-2oz-gold-proof-mother-of-pearl-coin,found,200,200,200,200
4476,Great Southern Land 2025 2oz Gold Proof Blue Lepidolite Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/great-southern-land-2025-2oz-gold-proof-blue-lepidolite-coin,found,200,200,200,200
4490,Her Majesty Queen Elizabeth II 95th Birthday 2021 2oz Gold Proof Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/her-majesty-queen-elizabeth-ii-95th-birthday-2021-2oz-gold-proof-coin,not_found,200,,,
4492,Honey Bee 2024 2 Kilo Silver Antiqued High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/honey-bee-2024-2-kilo-silver-antiqued-high-relief-coin,found,200,200,200,200
4498,Kimberley Sunrise 2023 5oz Gold Proof High Relief Coin with Diamond,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/kimberley-sunrise-2023-5oz-gold-proof-high-relief-coin-with-diamond,found,200,75,75,75
4499,Kimberley Sunset 2021 5oz Rose Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/kimberley-sunset-2021-5oz-rose-gold-proof-high-relief-coin,found,200,60,60,60
